ID 2.0,ID 1.0,Mean,Condition,Time,Max,Velocity (bpm/s)
1,3,88.04,Reference,115.377,111.59,-0.1067
1,3,86.89,Statisk,32.43,107.0,-0.6287
1,3,89.84,Dynamisk_2,32.927,112.32,-0.5815
1,3,87.78,Dynamisk_10,70.829,115.17,-0.3954
2,4,66.96,Reference,58.14,122.95,-0.9567
2,4,67.97,Statisk,97.282,122.8,-0.4824
2,4,66.46,Dynamisk_2,58.5,126.56,-0.979
2,4,66.09,Dynamisk_10,68.426,126.8,-0.9012
3,5,77.67,Reference,36.669,105.05,-0.6733
3,5,82.22,Statisk,33.213,113.44,-0.9858
3,5,77.18,Dynamisk_2,51.755,105.68,-0.2637
3,5,77.39,Dynamisk_10,68.663,113.88,-0.4491
4,6,89.15,Reference,117.486,145.8,-0.3607
4,6,81.0,Statisk,49.074,121.05,-0.7498
4,6,89.12,Dynamisk_2,47.924,133.85,-0.9334
4,6,93.72,Dynamisk_10,38.893,136.12,-0.9044
5,7,65.55,Reference,34.035,106.0,-1.4795
5,7,71.8,Statisk,50.616,105.98,-0.4139
5,7,69.88,Dynamisk_2,44.297,108.83,-0.6946
5,7,66.3,Dynamisk_10,33.164,108.05,-1.2631
6,20,62.61,Reference,39.565,104.56,-1.104
6,20,66.44,Statisk,44.857,103.32,-0.8592
6,20,59.86,Dynamisk_2,75.855,105.15,-0.7943
6,20,63.98,Dynamisk_10,42.736,106.07,-1.1217
7,21,71.04,Reference,43.277,117.46,-0.9597
7,21,71.6,Statisk,53.878,117.8,-0.6676
7,21,74.49,Dynamisk_2,77.768,123.22,-0.4721
7,21,81.17,Dynamisk_10,62.333,126.27,-0.6677
8,22,92.44,Reference,81.715,131.0,-0.0867
8,22,96.72,Statisk,64.817,137.22,-0.5328
8,22,93.02,Dynamisk_2,45.946,134.54,-0.7644
8,22,93.73,Dynamisk_10,77.96,134.61,-0.4226
9,23,80.33,Reference,145.313,116.0,-0.1771
9,23,74.4,Statisk,55.286,108.29,-0.4225
9,23,75.51,Dynamisk_2,54.906,111.78,-0.4859
9,23,78.56,Dynamisk_10,83.354,112.17,-0.3044
10,26,73.2,Reference,40.28,120.0,-1.4647
10,26,78.28,Statisk,42.945,122.56,-1.0801
10,26,76.28,Dynamisk_2,53.048,119.93,-0.7259
10,26,77.64,Dynamisk_10,39.272,125.1,-1.3385
11,27,79.08,Reference,53.008,114.71,-0.764
11,27,79.02,Statisk,33.73,120.78,-1.2762
11,27,79.73,Dynamisk_2,72.538,120.9,-0.4718
11,27,76.88,Dynamisk_10,56.657,123.07,-0.7414
12,28,73.78,Reference,52.477,118.95,-0.7127
12,28,78.27,Statisk,54.081,122.78,-0.7329
12,28,76.04,Dynamisk_2,82.805,118.15,-0.5094
12,28,73.55,Dynamisk_10,92.348,107.93,-0.2669
13,29,85.3,Reference,44.479,105.27,-0.3218
13,29,83.56,Statisk,208.202,110.12,-0.1366
13,29,81.38,Dynamisk_2,66.301,106.93,-0.2257
13,29,86.49,Dynamisk_10,53.663,113.0,-0.4281
14,51,88.29,Reference,69.555,110.1,-0.0552
14,51,92.79,Statisk,44.219,121.17,-0.5188
14,51,94.95,Dynamisk_2,40.56,122.0,-0.6676
14,51,91.81,Dynamisk_10,41.122,122.54,-0.7384
15,52,74.72,Reference,33.138,108.15,-1.1645
15,52,72.85,Statisk,66.098,118.85,-0.5331
15,52,73.56,Dynamisk_2,88.503,112.1,-0.4763
15,52,79.2,Dynamisk_10,49.904,117.0,-0.6655
