ID 2.0,ID 1.0,Mean,Condition,Time,Max,Velocity (bpm/s)
1,1,54.66,Reference,70.44,118.29,-0.9376
1,1,55.73,Statisk,62.8,108.68,-0.9625
1,1,55.32,Dynamisk_2,54.18,120.68,-1.4674
1,1,55.57,Dynamisk_10,77.09,114.2,-0.5768
2,3,88.02,Reference,115.377,111.59,-0.1067
2,3,86.89,Statisk,32.43,107.0,-0.6287
2,3,89.84,Dynamisk_2,32.927,112.32,-0.5815
2,3,87.78,Dynamisk_10,70.829,115.17,-0.3954
3,4,66.96,Reference,58.14,122.95,-0.9567
3,4,67.97,Statisk,97.282,122.8,-0.4824
3,4,66.46,Dynamisk_2,58.5,126.56,-0.979
3,4,66.09,Dynamisk_10,68.426,126.8,-0.9012
4,5,77.71,Reference,36.669,105.05,-0.6733
4,5,82.22,Statisk,33.213,113.44,-0.9858
4,5,77.18,Dynamisk_2,51.755,105.68,-0.2637
4,5,77.39,Dynamisk_10,68.663,113.88,-0.4491
5,6,94.74,Reference,100.256,145.8,-0.3739
5,6,81.0,Statisk,49.074,121.05,-0.7498
5,6,89.07,Dynamisk_2,47.924,133.85,-0.9334
5,6,93.72,Dynamisk_10,38.893,136.12,-0.9044
6,7,65.55,Reference,34.035,106.0,-1.4795
6,7,71.8,Statisk,50.616,105.98,-0.4139
6,7,69.88,Dynamisk_2,44.297,108.83,-0.6946
6,7,66.3,Dynamisk_10,33.164,108.05,-1.2631
7,8,73.31,Reference,49.74,106.56,-0.7784
7,8,73.59,Statisk,44.33,104.98,-0.8605
7,8,76.18,Dynamisk_2,46.05,103.54,-0.599
7,8,76.13,Dynamisk_10,30.53,105.98,-0.988
8,9,71.66,Reference,68.46,128.07,-0.8905
8,9,76.43,Statisk,69.95,128.59,-0.5936
8,9,76.68,Dynamisk_2,126.33,123.63,-0.3611
8,9,74.97,Dynamisk_10,62.31,130.29,-0.6033
9,10,74.73,Reference,50.73,116.0,-0.9201
9,10,74.48,Statisk,54.92,121.63,-0.8304
9,10,73.89,Dynamisk_2,58.36,108.88,-0.6446
9,10,73.82,Dynamisk_10,36.69,115.41,-1.3623
10,11,74.67,Reference,65.51,126.17,-0.5635
10,11,73.2,Statisk,60.09,111.17,-0.5389
10,11,76.9,Dynamisk_2,55.66,112.83,-0.5024
10,11,77.17,Dynamisk_10,67.97,106.83,-0.3603
11,12,80.51,Reference,117.97,123.37,-0.4133
11,12,75.95,Statisk,75.85,106.95,-0.3341
